booking_id,booking_ts,departure_ts,lead_time_days,mode,channel,customer_id,customer_type,origin_hub,origin_country,destination_hub,destination_country,is_international,service_code,weight_kg,volume_m3,teu,ldm,chargeable_kg,booked_capacity,available_capacity,first_time_right,missing_address,missing_customs_doc,wrong_weight,missing_service_code,amendment_count,cancelled,no_show,defect_reason
BK-002025053168,2025-01-01 06:00:14,2025-01-02 12:52:23,1.29,AIR,API,CUST-0000,PRODUCTION,HKG,HK,LHR,GB,True,EXP-12,6.69,0.0725,0.0,0.0,12.11,12.1075,16370.4678,True,False,False,False,False,0,False,False,
BK-002025127104,2025-01-01 06:00:14,2025-01-04 06:19:54,3.01,AIR,API,CUST-0017,HEALTHCARE,AMS,NL,MIL,IT,True,HEALTH-CTRL,58.52,0.2153,0.0,0.0,58.52,58.52,10621.1119,True,False,False,False,False,0,False,False,
BK-002025397102,2025-01-01 06:00:36,2025-01-13 17:08:11,12.46,AIR,API,CUST-0015,PRODUCTION,CPH,DK,OSL,NO,True,EXP-12,7.14,0.0354,0.0,0.0,7.14,7.14,11631.7927,False,True,True,False,False,0,False,False,No EORI number supplied for dutiable goods.
BK-002025329431,2025-01-01 06:01:22,2025-01-09 08:44:38,8.11,ROAD,EDI,CUST-0111,SPARE_PARTS,CDG,FR,CPH,DK,True,EXP-09,50.48,0.1764,0.0,0.1,0.0,0.1,13.1169,True,False,False,False,False,0,False,False,
BK-002025299104,2025-01-01 06:01:26,2025-01-04 03:10:52,2.88,ROAD,PORTAL,CUST-0058,SAMPLES,MIL,IT,FRA,DE,True,ECON-48,41.36,0.1464,0.0,0.083,0.0,0.083,11.5353,True,False,False,False,False,0,False,False,
BK-002025333243,2025-01-01 06:01:33,2025-01-05 12:24:57,4.27,AIR,PORTAL,CUST-0084,PRODUCTION,AMS,NL,HAM,DE,True,HEALTH-CTRL,4.44,0.0349,0.0,0.0,5.83,5.8283,15185.8818,True,False,False,False,False,0,False,False,
BK-002025334875,2025-01-01 06:02:09,2025-01-10 10:29:03,9.19,OCEAN,EDI,CUST-0079,PRODUCTION,LHR,GB,SIN,SG,True,HEALTH-CTRL,19.26,0.1121,0.0034,0.0,0.0,0.0034,34.4588,True,False,False,False,False,0,False,False,
BK-002025330121,2025-01-01 06:02:43,2025-01-03 12:53:08,2.29,ROAD,API,CUST-0103,PRODUCTION,CPH,DK,ORD,US,True,SAME-DAY,1.5,0.0059,0.0,0.003,0.0,0.003,10.3773,True,False,False,False,False,0,False,False,
BK-002025190868,2025-01-01 06:02:51,2025-01-02 20:33:01,1.6,AIR,EMAIL,CUST-0035,SPARE_PARTS,FRA,DE,MAD,ES,True,STD-EOD,8.58,0.0861,0.0,0.0,14.38,14.3787,14180.4002,True,False,False,False,False,1,False,False,
BK-002025176271,2025-01-01 06:03:41,2025-01-03 20:57:33,2.62,OCEAN,API,CUST-0140,SAMPLES,ARN,SE,AMS,NL,True,ECON-48,26.29,0.127,0.0038,0.0,0.0,0.0038,48.1246,True,False,False,False,False,0,False,False,
BK-002025052302,2025-01-01 06:03:52,2025-01-05 10:04:57,4.17,ROAD,FAX_OCR,CUST-0011,SPARE_PARTS,HAM,DE,AMS,NL,True,EXP-09,16.13,0.174,0.0,0.099,0.0,0.099,10.0691,True,False,False,False,False,0,False,False,
BK-002025332031,2025-01-01 06:06:38,2025-01-13 16:18:08,12.42,ROAD,API,CUST-0207,SPARE_PARTS,ORD,US,SIN,SG,True,SAME-DAY,9.69,0.0735,0.0,0.042,0.0,0.042,8.3534,True,False,False,False,False,0,False,False,
BK-002025232508,2025-01-01 06:07:13,2025-01-10 17:13:09,9.46,OCEAN,API,CUST-0039,HEALTHCARE,CPH,DK,AMS,NL,True,HEALTH-CTRL,6.24,0.0303,0.0009,0.0,0.0,0.0009,43.5125,False,False,False,False,False,1,False,False,Pickup window conflicts with carrier cut-off time.
BK-002025116970,2025-01-01 06:07:45,2025-01-15 09:38:00,14.15,AIR,EMAIL,CUST-0046,PRODUCTION,AMS,NL,SIN,SG,True,ECON-48,17.29,0.0808,0.0,0.0,17.29,17.29,9879.1887,True,False,False,False,False,0,False,False,
BK-002025093744,2025-01-01 06:08:47,2025-01-03 14:51:55,2.36,AIR,EMAIL,CUST-0148,SPARE_PARTS,CDG,FR,CPH,DK,True,ECON-48,18.5,0.1668,0.0,0.0,27.86,27.8556,7836.5504,True,False,False,False,False,0,False,False,
BK-002025151228,2025-01-01 06:09:02,2025-01-08 11:24:50,7.22,AIR,EMAIL,CUST-0037,PRODUCTION,DXB,AE,AMS,NL,True,EXP-09,4.93,0.018,0.0,0.0,4.93,4.93,18719.4217,True,False,False,False,False,2,False,False,
BK-002025290544,2025-01-01 06:09:02,2025-01-09 23:53:47,8.74,ROAD,API,CUST-0044,SPARE_PARTS,AMS,NL,FRA,DE,True,EXP-09,24.21,0.1737,0.0,0.099,0.0,0.099,12.3724,True,False,False,False,False,0,False,False,
BK-002025070640,2025-01-01 06:09:18,2025-01-04 15:56:03,3.41,ROAD,API,CUST-0005,SPARE_PARTS,HAM,DE,MIL,IT,True,HEALTH-CTRL,16.06,0.0693,0.0,0.039,0.0,0.039,8.5463,True,False,False,False,False,0,False,False,
BK-002025388915,2025-01-01 06:09:40,2025-01-06 22:29:37,5.68,OCEAN,PORTAL,CUST-0002,SPARE_PARTS,AMS,NL,JFK,US,True,EXP-09,7.36,0.0424,0.0013,0.0,0.0,0.0013,49.0034,False,True,False,False,False,1,False,False,"Delivery street line blank, only city given."
